,연도,월,호선,영업일,영업열차운행횟수-정기(회),영업열차운행횟수-임시(회),영업열차운행횟수-합계(회),비영업열차운행횟수-합계(회),전체열차운행횟수-합계(회),영업열차운행키로-정기(Km),영업열차운행키로-임시(Km),영업열차운행키로-합계(Km),비영업열차운행키로-합계(Km),전체열차운행키로-합계(Km)
0,2005.0,10.0,2.0,14.0,8963.0,6.0,8969.0,14.0,8983.0,249903.5,200.0,250103.5,358.2,250461.7
1,2005.0,11.0,2.0,30.0,9263.0,4.0,9267.0,91.0,9358.0,258363.6,112.0,258475.6,2374.1,260849.7
2,2005.0,12.0,2.0,31.0,9552.0,4.0,9556.0,5.0,9561.0,266427.1,112.0,266539.1,38.7,266577.8
3,2006.0,1.0,2.0,31.0,9504.0,0.0,9504.0,0.0,9504.0,265082.8,0.0,265082.8,0.0,265082.8
4,2006.0,2.0,2.0,28.0,8640.0,0.0,8640.0,6.0,8646.0,240990.4,0.0,240990.4,17.4,241007.8
5,2006.0,3.0,2.0,31.0,9552.0,0.0,9552.0,31.0,9583.0,266418.2,0.0,266418.2,617.2,267035.4
6,2006.0,4.0,2.0,30.0,9240.0,0.0,9240.0,18.0,9258.0,257716.0,0.0,257716.0,144.6,257860.6
7,2006.0,5.0,2.0,31.0,9528.0,0.0,9528.0,2.0,9530.0,265754.8,0.0,265754.8,56.0,265810.8
8,2006.0,6.0,2.0,30.0,9239.0,24.0,9263.0,10.0,9273.0,257677.9,655.4,258333.3,130.3,258463.6
9,2006.0,7.0,2.0,31.0,9528.0,0.0,9528.0,7.0,9535.0,265746.2,0.0,265746.2,122.8,265869.0
10,2006.0,8.0,2.0,31.0,9552.0,0.0,9552.0,16.0,9568.0,266426.8,0.0,266426.8,143.9,266570.7
11,2006.0,9.0,2.0,30.0,9264.0,0.0,9264.0,2.0,9266.0,258396.0,0.0,258396.0,56.0,258452.0
12,2006.0,10.0,2.0,31.0,9456.0,0.0,9456.0,6.0,9462.0,263738.8,0.0,263738.8,168.0,263906.8
13,2006.0,11.0,2.0,30.0,9263.0,4.0,9267.0,7.0,9274.0,258368.0,112.0,258480.0,196.0,258676.0
14,2006.0,12.0,2.0,31.0,9528.0,9.0,9537.0,3.0,9540.0,265759.5,252.0,266011.5,31.7,266043.2
15,2007.0,1.0,2.0,31.0,9552.0,0.0,9552.0,0.0,9552.0,266426.8,0.0,266426.8,0.0,266426.8
16,2007.0,2.0,2.0,28.0,8592.0,0.0,8592.0,8.0,8600.0,239646.4,0.0,239646.4,23.2,239669.6
17,2007.0,3.0,2.0,31.0,9552.0,0.0,9552.0,16.0,9568.0,266426.8,0.0,266426.8,146.8,266573.6
18,2007.0,4.0,2.0,30.0,9240.0,1.0,9241.0,35.0,9276.0,257704.6,28.0,257732.6,220.8,257953.4
19,2007.0,5.0,2.0,31.0,9528.0,0.0,9528.0,6.0,9534.0,265754.8,0.0,265754.8,98.0,265852.8
20,2007.0,6.0,2.0,30.0,9240.0,1.0,9241.0,5.0,9246.0,257724.0,28.0,257752.0,131.3,257883.3
21,2007.0,7.0,2.0,31.0,9528.0,0.0,9528.0,16.0,9544.0,265754.8,0.0,265754.8,363.5,266118.3
22,2007.0,8.0,2.0,31.0,9552.0,0.0,9552.0,12.0,9564.0,266426.8,0.0,266426.8,215.8,266642.6
23,2007.0,9.0,2.0,30.0,9168.0,0.0,9168.0,8.0,9176.0,255708.0,0.0,255708.0,151.1,255859.1
24,2007.0,10.0,2.0,31.0,9552.0,0.0,9552.0,6.0,9558.0,266426.8,0.0,266426.8,95.1,266521.9
25,2007.0,11.0,2.0,30.0,9264.0,4.0,9268.0,6.0,9274.0,258396.0,112.0,258508.0,98.0,258606.0
26,2007.0,12.0,2.0,31.0,9504.0,8.0,9512.0,14.0,9526.0,265099.4,224.0,265323.4,112.2,265435.6
27,2008.0,1.0,2.0,31.0,9552.0,0.0,9552.0,4.0,9556.0,266426.8,0.0,266426.8,42.0,266468.8
28,2008.0,2.0,2.0,29.0,8864.0,5.0,8869.0,4.0,8873.0,247169.7,80.5,247250.2,74.1,247324.3
29,2008.0,3.0,2.0,31.0,9528.0,0.0,9528.0,17.0,9545.0,265754.8,0.0,265754.8,152.1,265906.9
30,2008.0,4.0,2.0,30.0,9240.0,0.0,9240.0,6.0,9246.0,257724.0,0.0,257724.0,95.1,257819.1
31,2008.0,5.0,2.0,31.0,9528.0,0.0,9528.0,8.0,9536.0,265754.8,0.0,265754.8,148.2,265903.0
32,2008.0,6.0,2.0,30.0,9216.0,0.0,9216.0,8.0,9224.0,257052.0,0.0,257052.0,131.1,257183.1
33,2008.0,7.0,2.0,31.0,9576.0,0.0,9576.0,6.0,9582.0,267098.8,0.0,267098.8,95.1,267193.9
34,2008.0,8.0,2.0,31.0,9528.0,0.0,9528.0,6.0,9534.0,265754.8,0.0,265754.8,95.1,265849.9
35,2008.0,9.0,2.0,30.0,9216.0,0.0,9216.0,6.0,9222.0,257052.0,0.0,257052.0,95.1,257147.1
36,2008.0,10.0,2.0,31.0,9552.0,0.0,9552.0,6.0,9558.0,266426.8,0.0,266426.8,95.1,266521.9
37,2008.0,11.0,2.0,30.0,9240.0,4.0,9244.0,6.0,9250.0,257724.0,112.0,257836.0,95.1,257931.1
38,2008.0,12.0,2.0,31.0,9552.0,8.0,9560.0,8.0,9568.0,266443.4,224.0,266667.4,146.7,266814.1
39,2009.0,1.0,2.0,31.0,9504.0,0.0,9504.0,2.0,9506.0,265082.8,0.0,265082.8,21.0,265103.8
40,2009.0,2.0,2.0,28.0,8640.0,0.0,8640.0,26.0,8666.0,240990.4,0.0,240990.4,423.2,241413.6
41,2009.0,3.0,2.0,31.0,9552.0,0.0,9552.0,6.0,9558.0,266426.8,0.0,266426.8,98.0,266524.8
42,2009.0,4.0,2.0,30.0,9264.0,0.0,9264.0,8.0,9272.0,258396.0,0.0,258396.0,154.0,258550.0
43,2009.0,5.0,2.0,31.0,9504.0,0.0,9504.0,6.0,9510.0,265082.8,0.0,265082.8,98.0,265180.8
44,2009.0,6.0,2.0,30.0,9240.0,0.0,9240.0,12.0,9252.0,257724.0,0.0,257724.0,162.7,257886.7
45,2009.0,7.0,2.0,31.0,9576.0,0.0,9576.0,6.0,9582.0,267098.8,0.0,267098.8,95.1,267193.9
46,2009.0,8.0,2.0,31.0,9528.0,0.0,9528.0,10.0,9538.0,265754.8,0.0,265754.8,210.0,265964.8
47,2009.0,9.0,2.0,30.0,9264.0,0.0,9264.0,18.0,9282.0,258396.0,0.0,258396.0,355.3,258751.3
48,2009.0,10.0,2.0,31.0,9528.0,0.0,9528.0,16.0,9544.0,265754.8,0.0,265754.8,302.2,266057.0
49,2009.0,11.0,2.0,30.0,9240.0,4.0,9244.0,12.0,9256.0,257724.0,112.0,257836.0,190.2,258026.2
50,2009.0,12.0,2.0,31.0,9552.0,8.0,9560.0,6.0,9566.0,266443.4,224.0,266667.4,90.7,266758.1
51,2010.0,1.0,2.0,31.0,9528.0,0.0,9528.0,2.0,9530.0,265754.8,0.0,265754.8,21.0,265775.8
52,2010.0,2.0,2.0,28.0,8592.0,0.0,8592.0,6.0,8598.0,239646.4,0.0,239646.4,95.1,239741.5
