,연도,월,호선,영업일,영업열차운행횟수-정기(회),영업열차운행횟수-임시(회),영업열차운행횟수-합계(회),비영업열차운행횟수-합계(회),전체열차운행횟수-합계(회),영업열차운행키로-정기(Km),영업열차운행키로-임시(Km),영업열차운행키로-합계(Km),비영업열차운행키로-합계(Km),전체열차운행키로-합계(Km)
53,2010.0,3.0,2.0,31.0,9552.0,0.0,9552.0,6.0,9558.0,266426.8,0.0,266426.8,95.1,266521.9
54,2010.0,4.0,2.0,30.0,9264.0,0.0,9264.0,6.0,9270.0,258396.0,0.0,258396.0,95.1,258491.1
55,2010.0,5.0,2.0,31.0,9504.0,16.0,9520.0,6.0,9526.0,265082.8,448.0,265530.8,95.1,265625.9
56,2010.0,6.0,2.0,30.0,9240.0,22.0,9262.0,8.0,9270.0,257740.6,616.0,258356.6,111.7,258468.3
57,2010.0,7.0,2.0,31.0,9576.0,0.0,9576.0,10.0,9586.0,267098.8,0.0,267098.8,195.0,267293.8
58,2010.0,8.0,2.0,31.0,9552.0,0.0,9552.0,8.0,9560.0,266426.8,0.0,266426.8,148.2,266575.0
59,2010.0,9.0,2.0,30.0,9192.0,0.0,9192.0,6.0,9198.0,256380.0,0.0,256380.0,95.1,256475.1
60,2010.0,10.0,2.0,31.0,9552.0,0.0,9552.0,10.0,9562.0,266426.8,0.0,266426.8,201.3,266628.1
61,2010.0,11.0,2.0,30.0,9264.0,4.0,9268.0,8.0,9276.0,258396.0,112.0,258508.0,116.1,258624.1
62,2010.0,12.0,2.0,31.0,9552.0,16.0,9568.0,10.0,9578.0,266443.4,448.0,266891.4,164.8,267056.2
63,2011.0,1.0,2.0,31.0,9528.0,2.0,9530.0,2.0,9532.0,265754.8,56.0,265810.8,21.0,265831.8
64,2011.0,2.0,2.0,28.0,8568.0,4.0,8572.0,6.0,8578.0,238974.4,112.0,239086.4,98.0,239184.4
65,2011.0,3.0,2.0,31.0,9552.0,0.0,9552.0,8.0,9560.0,266426.8,0.0,266426.8,148.2,266575.0
66,2011.0,4.0,2.0,30.0,9264.0,0.0,9264.0,8.0,9272.0,258396.0,0.0,258396.0,148.2,258544.2
67,2011.0,5.0,2.0,31.0,9504.0,8.0,9512.0,6.0,9518.0,265077.0,224.0,265301.0,95.1,265396.1
68,2011.0,6.0,2.0,30.0,9240.0,0.0,9240.0,2.0,9242.0,257724.0,0.0,257724.0,53.1,257777.1
69,2011.0,7.0,2.0,31.0,9552.0,0.0,9552.0,6.0,9558.0,266426.8,0.0,266426.8,95.1,266521.9
70,2011.0,8.0,2.0,31.0,9576.0,118.0,9694.0,12.0,9706.0,267165.2,3304.0,270469.2,183.7,270652.9
71,2011.0,9.0,2.0,30.0,9240.0,47.0,9287.0,14.0,9301.0,257790.4,1316.0,259106.4,172.3,259278.7
72,2011.0,10.0,2.0,31.0,9528.0,0.0,9528.0,7.0,9535.0,265763.4,0.0,265763.4,103.7,265867.1
73,2011.0,11.0,2.0,30.0,9264.0,4.0,9268.0,26.0,9294.0,258396.0,112.0,258508.0,157.5,258665.5
74,2011.0,12.0,2.0,31.0,9576.0,8.0,9584.0,14.0,9598.0,267115.4,224.0,267339.4,238.9,267578.3
75,2012.0,1.0,2.0,31.0,9504.0,,9504.0,2.0,9506.0,265082.8,,265082.8,21.0,265103.8
76,2012.0,2.0,2.0,29.0,8952.0,,8952.0,6.0,8958.0,249693.2,,249693.2,95.1,249788.3
77,2012.0,3.0,2.0,31.0,9552.0,,9552.0,,9552.0,266426.8,,266426.8,514.9,266941.7
78,2012.0,4.0,2.0,30.0,9216.0,,9216.0,159.0,9375.0,257052.0,,257052.0,1001.7,258053.7
79,2012.0,5.0,2.0,31.0,9528.0,8.0,9536.0,280.0,9816.0,265754.8,224.0,265978.8,947.9,266926.7
