,연도,월,호선,영업일,영업열차운행횟수-정기(회),영업열차운행횟수-임시(회),영업열차운행횟수-합계(회),비영업열차운행횟수-합계(회),전체열차운행횟수-합계(회),영업열차운행키로-정기(Km),영업열차운행키로-임시(Km),영업열차운행키로-합계(Km),비영업열차운행키로-합계(Km),전체열차운행키로-합계(Km)
0,2012.0,6.0,2.0,30.0,9240.0,5.0,9245.0,165.0,9410.0,257740.6,140.0,257880.6,1647.3,259527.9
1,2012.0,7.0,2.0,31.0,9552.0,,9552.0,198.0,9750.0,271024.0,,271024.0,4873.1,275897.1
2,2012.0,8.0,2.0,31.0,9504.0,,9504.0,132.0,9636.0,292918.6,,292918.6,924.8,293843.4
3,2012.0,9.0,2.0,30.0,9152.0,,9152.0,141.0,9293.0,285730.8,,285730.8,589.4,286320.2
4,2012.0,10.0,2.0,31.0,9464.0,3.0,9467.0,133.0,9600.0,295929.6,94.2,296023.8,617.7,296641.5
5,2012.0,11.0,2.0,30.0,9200.0,4.0,9204.0,136.0,9340.0,287680.0,125.6,287805.6,605.8,288411.4
6,2012.0,12.0,2.0,31.0,9424.0,12.0,9436.0,164.0,9600.0,294693.6,376.8,295070.4,770.2,295840.6
7,2013.0,1.0,2.0,31.0,9488.0,,9488.0,129.0,9617.0,296683.2,,296683.2,448.4,297131.6
8,2013.0,2.0,2.0,28.0,8544.0,,8544.0,148.0,8692.0,267161.6,,267161.6,626.7,267788.3
9,2013.0,3.0,2.0,31.0,9448.0,,9448.0,134.0,9582.0,295427.2,,295427.2,643.3,296070.5
10,2013.0,4.0,2.0,30.0,9200.0,,9200.0,124.0,9324.0,287680.0,,287680.0,488.9,288168.9
11,2013.0,5.0,2.0,31.0,9488.0,1.0,9489.0,129.0,9618.0,296683.2,31.4,296714.6,531.0,297245.6
12,2013.0,6.0,2.0,30.0,9136.0,,9136.0,126.0,9262.0,285670.4,,285670.4,509.9,286180.3
13,2013.0,7.0,2.0,31.0,9224.0,,9224.0,158.0,9382.0,288393.6,,288393.6,671.8,289065.4
14,2013.0,8.0,2.0,31.0,8936.0,,8936.0,172.0,9108.0,279350.4,,279350.4,666.3,280016.7
15,2013.0,9.0,2.0,30.0,8560.0,,8560.0,162.0,8722.0,267584.0,,267584.0,632.3,268216.3
16,2013.0,10.0,2.0,31.0,8920.0,,8920.0,172.0,9092.0,278848.0,,278848.0,666.3,279514.3
17,2013.0,11.0,2.0,30.0,8672.0,4.0,8676.0,166.0,8842.0,271100.8,125.6,271226.4,631.7,271858.1
18,2013.0,12.0,2.0,31.0,8920.0,9.0,8929.0,174.0,9103.0,278868.0,282.6,279150.6,672.1,279822.7
19,2014.0,1.0,2.0,31.0,8888.0,,8888.0,166.0,9054.0,277843.2,,277843.2,578.6,278421.8
20,2014.0,2.0,2.0,28.0,8080.0,,8080.0,158.0,8238.0,252592.0,,252592.0,618.7,253210.7
21,2014.0,3.0,2.0,31.0,8920.0,,8920.0,172.0,9092.0,278848.0,,278848.0,666.3,279514.3
22,2014.0,4.0,2.0,30.0,8688.0,,8688.0,172.0,8860.0,271603.2,,271603.2,719.4,272322.6
23,2014.0,5.0,2.0,31.0,8904.0,,8904.0,172.0,9076.0,278345.6,,278345.6,719.4,279065.0
24,2014.0,6.0,2.0,30.0,8592.0,,8592.0,168.0,8760.0,268588.8,,268588.8,757.9,269346.7
25,2014.0,7.0,2.0,31.0,8984.0,,8984.0,174.0,9158.0,280857.6,,280857.6,658.9,281516.5
26,2014.0,8.0,2.0,31.0,8904.0,,8904.0,166.0,9070.0,278345.6,,278345.6,617.5,278963.1
27,2014.0,9.0,2.0,30.0,8592.0,,8592.0,164.0,8756.0,268588.8,,268588.8,639.1,269227.9
28,2014.0,10.0,2.0,31.0,8920.0,,8920.0,174.0,9094.0,278848.0,,278848.0,726.2,279574.2
29,2014.0,11.0,2.0,30.0,8640.0,4.0,8644.0,166.0,8810.0,270096.0,125.6,270221.6,645.9,270867.5
30,2014.0,12.0,2.0,31.0,8952.0,10.0,8962.0,175.0,9137.0,279872.8,314.0,280186.8,675.5,280862.3
31,2015.0,1.0,2.0,31.0,8936.0,,8936.0,172.0,9108.0,279350.4,,279350.4,666.3,280016.7
32,2015.0,2.0,2.0,28.0,8000.0,,8000.0,156.0,8156.0,250080.0,,250080.0,754.1,250834.1
33,2015.0,3.0,2.0,31.0,8952.0,,8952.0,174.0,9126.0,279852.8,,279852.8,673.1,280525.9
34,2015.0,4.0,2.0,30.0,8688.0,,8688.0,170.0,8858.0,271603.2,,271603.2,659.5,272262.7
35,2015.0,5.0,2.0,31.0,8872.0,,8872.0,168.0,9040.0,277340.8,,277340.8,652.7,277993.5
36,2015.0,6.0,2.0,30.0,8672.0,,8672.0,174.0,8846.0,271094.0,,271094.0,772.6,271866.6
37,2015.0,7.0,2.0,31.0,8984.0,,8984.0,178.0,9162.0,280857.6,,280857.6,778.7,281636.3
38,2015.0,8.0,2.0,31.0,8920.0,16.0,8936.0,178.0,9114.0,278848.0,502.4,279350.4,848.9,280199.3
39,2015.0,9.0,2.0,30.0,8608.0,6.0,8614.0,164.0,8778.0,269091.2,188.4,269279.6,645.9,269925.5
40,2015.0,10.0,2.0,31.0,8920.0,2.0,8922.0,174.0,9096.0,278848.0,62.8,278910.8,726.2,279637.0
41,2015.0,11.0,2.0,30.0,8656.0,4.0,8660.0,172.0,8832.0,270598.4,125.6,270724.0,772.5,271496.5
42,2015.0,12.0,2.0,31.0,8952.0,3.0,8955.0,175.0,9130.0,279872.8,94.2,279967.0,768.5,280735.5
43,2016.0,1.0,2.0,31.0,8904.0,9.0,8913.0,171.0,9084.0,278345.6,282.6,278628.2,661.9,279290.1
44,2016.0,2.0,2.0,29.0,8296.0,,8296.0,162.0,8458.0,259334.4,,259334.4,738.5,260072.9
45,2016.0,3.0,2.0,31.0,8952.0,9.0,8961.0,181.0,9142.0,279852.8,279.2,280132.0,1050.9,281182.9
46,2016.0,4.0,2.0,30.0,8640.0,6.0,8646.0,173.0,8819.0,270096.0,174.8,270270.8,883.0,271153.8
47,2016.0,5.0,2.0,31.0,8904.0,19.0,8923.0,185.0,9108.0,278345.6,586.4,278932.0,1058.5,279990.5
48,2016.0,6.0,2.0,30.0,8656.0,1.0,8657.0,170.0,8827.0,270598.4,31.4,270629.8,712.6,271342.4
49,2016.0,7.0,2.0,31.0,8936.0,5.0,8941.0,195.0,9136.0,279350.4,157.0,279507.4,969.0,280476.4
50,2016.0,8.0,2.0,31.0,8952.0,1.0,8953.0,183.0,9136.0,279852.8,28.0,279880.8,852.6,280733.4
51,2016.0,9.0,2.0,30.0,8592.0,,8592.0,170.0,8762.0,268588.8,,268588.8,613.2,269202.0
52,2016.0,10.0,2.0,31.0,8904.0,,8904.0,172.0,9076.0,278345.6,,278345.6,713.1,279058.7
53,2016.0,11.0,2.0,30.0,8688.0,4.0,8692.0,168.0,8860.0,271603.2,125.6,271728.8,638.5,272367.3
54,2016.0,12.0,2.0,31.0,8968.0,,8968.0,179.0,9147.0,280375.2,,280375.2,830.1,281205.3
55,2017.0,1.0,2.0,31.0,8872.0,8.0,8880.0,167.0,9047.0,277349.4,251.2,277600.6,581.0,278181.6
56,2017.0,2.0,2.0,28.0,8096.0,4.0,8100.0,154.0,8254.0,253094.4,125.6,253220.0,576.7,253796.7
57,2017.0,3.0,2.0,31.0,8952.0,,8952.0,175.0,9127.0,279852.8,,279852.8,714.9,280567.7
58,2017.0,4.0,2.0,30.0,8640.0,4.0,8644.0,176.0,8820.0,270096.0,122.2,270218.2,820.7,271038.9
59,2017.0,5.0,2.0,31.0,8888.0,6.0,8894.0,174.0,9068.0,277843.2,188.4,278031.6,702.6,278734.2
60,2017.0,6.0,2.0,30.0,8656.0,,8656.0,178.0,8834.0,270598.4,,270598.4,894.3,271492.7
61,2017.0,7.0,2.0,31.0,8936.0,1.0,8937.0,171.0,9108.0,279350.4,28.0,279378.4,673.3,280051.7
62,2017.0,8.0,2.0,31.0,8952.0,4.0,8956.0,178.0,9134.0,279852.8,115.4,279968.2,830.8,280799.0
63,2017.0,9.0,2.0,30.0,8672.0,,8672.0,164.0,8836.0,271100.8,,271100.8,610.7,271711.5
64,2017.0,10.0,2.0,31.0,8760.0,2.0,8762.0,163.0,8925.0,273824.0,59.4,273883.4,699.2,274582.6
65,2017.0,11.0,2.0,30.0,8688.0,4.0,8692.0,168.0,8860.0,271603.2,125.6,271728.8,638.5,272367.3
66,2017.0,12.0,2.0,31.0,8904.0,,8904.0,167.0,9071.0,278365.6,,278365.6,635.1,279000.7
67,2018.0,1.0,2.0,31.0,8952.0,10.0,8962.0,171.0,9133.0,279852.8,314.0,280166.8,594.6,280761.4
68,2018.0,2.0,2.0,28.0,8016.0,,8016.0,152.0,8168.0,250582.4,,250582.4,584.1,251166.5
69,2018.0,3.0,2.0,31.0,8936.0,23.0,8959.0,175.0,9134.0,279350.4,715.4,280065.8,793.6,280859.4
70,2018.0,4.0,2.0,30.0,8656.0,1.0,8657.0,167.0,8824.0,270598.4,28.0,270626.4,659.7,271286.1
71,2018.0,5.0,2.0,31.0,8904.0,10.0,8914.0,173.0,9087.0,278345.6,303.8,278649.4,746.5,279395.9
72,2018.0,6.0,2.0,30.0,8608.0,6.0,8614.0,169.0,8783.0,269091.2,122.2,269213.4,747.1,269960.5
73,2018.0,7.0,2.0,31.0,8952.0,,8952.0,174.0,9126.0,279852.8,,279852.8,712.0,280564.8
74,2018.0,8.0,2.0,31.0,8952.0,,8952.0,172.0,9124.0,279852.8,,279852.8,652.1,280504.9
75,2018.0,9.0,2.0,30.0,8544.0,1.0,8545.0,159.0,8704.0,267081.6,31.4,267113.0,633.0,267746.0
76,2018.0,10.0,2.0,31.0,8920.0,,8920.0,168.0,9088.0,278848.0,0.0,278848.0,624.3,279472.3
77,2018.0,11.0,2.0,30.0,8688.0,4.0,8692.0,167.0,8859.0,271603.2,125.6,271728.8,629.7,272358.5
78,2018.0,12.0,2.0,31.0,8905.0,8.0,8913.0,168.0,9081.0,278408.4,251.2,278659.6,602.0,279261.6
79,2019.0,1.0,2.0,31.0,8952.0,6.0,8958.0,170.0,9128.0,279861.4,188.4,280049.8,591.2,280641.0
