,연도,월,호선,영업일,영업열차운행횟수-정기(회),영업열차운행횟수-임시(회),영업열차운행횟수-합계(회),비영업열차운행횟수-합계(회),전체열차운행횟수-합계(회),영업열차운행키로-정기(Km),영업열차운행키로-임시(Km),영업열차운행키로-합계(Km),비영업열차운행키로-합계(Km),전체열차운행키로-합계(Km)
46,2022.0,12.0,2.0,31.0,8968.0,2.0,8970.0,200.0,9170.0,280375.2,62.8,280438.0,898.1,281336.1
47,2023.0,1.0,2.0,31.0,8872.0,22.0,8894.0,187.0,9081.0,277380.8,690.8,278071.6,805.1,278876.7
48,2023.0,2.0,2.0,28.0,8096.0,0.0,8096.0,197.0,8293.0,253094.4,0.0,253094.4,950.3,254044.7
49,2023.0,3.0,2.0,31.0,8952.0,0.0,8952.0,232.0,9184.0,279852.8,0.0,279852.8,1168.1,281020.9
50,2023.0,4.0,2.0,30.0,8640.0,1.0,8641.0,221.0,8862.0,270096.0,28.0,270124.0,1088.0,271212.0
51,2023.0,5.0,2.0,31.0,8904.0,15.0,8919.0,242.0,9161.0,278345.6,467.6,278813.2,1394.9,280208.1
52,2023.0,6.0,2.0,30.0,8656.0,0.0,8656.0,226.0,8882.0,270598.4,0.0,270598.4,1147.7,271746.1
53,2023.0,7.0,2.0,31.0,8936.0,0.0,8936.0,232.0,9168.0,279350.4,0.0,279350.4,1178.5,280528.9
54,2023.0,8.0,2.0,31.0,8952.0,6.0,8958.0,246.0,9204.0,279842.2,181.6,280023.8,1521.6,281545.4
55,2023.0,9.0,2.0,30.0,8592.0,1.0,8593.0,219.0,8812.0,268588.8,31.4,268620.2,1081.7,269701.9
56,2023.0,10.0,2.0,31.0,8856.0,1.0,8857.0,229.0,9086.0,276838.4,28.0,276866.4,1192.9,278059.3
57,2023.0,11.0,2.0,30.0,8688.0,4.0,8692.0,230.0,8922.0,271603.2,125.6,271728.8,1217.3,272946.1
58,2023.0,12.0,2.0,31.0,8904.0,0.0,8904.0,219.0,9123.0,278365.6,0.0,278365.6,1121.0,279486.6
59,2024.0,1.0,2.0,31.0,8952.0,6.0,8958.0,206.0,9164.0,279852.8,188.4,280041.2,893.0,280934.2
60,2024.0,2.0,2.0,29.0,8312.0,0.0,8312.0,217.0,8529.0,259836.8,0.0,259836.8,1154.4,260991.2
61,2024.0,3.0,2.0,31.0,8904.0,2.0,8906.0,236.0,9142.0,278345.6,49.2,278394.8,1271.6,279666.4
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
